"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"1","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-01",8.95,1255,0,16,3,310,310,18.1,29.1
"2","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-02",8.5,2042,0,25,13,250,250,17,25.1
"3","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-03",4.03,6,0,27,14,250,240,12.1,17
"4","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-04",21.25,1202,0.26,28,21,10,350,35.1,47
"5","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-05",13.65,1604,0,25,9,300,300,23.9,38
"6","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-06",11.41,1016,0,14,6,300,310,17,29.1
"7","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-07",6.93,111,0,21,0,320,330,17,25.9
"8","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-08",8.95,13,0.01,33,21,240,220,16.1,25.1
"9","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-09",6.49,1244,0,43,29,320,290,15,25.9
"10","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-10",2.24,12,0,35,10,140,350,8.1,10.1
"11","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-11",1.34,1556,0,45,28,140,130,6,6.9
"12","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-12",7.61,1204,0.24,54,37,180,190,19.9,27.1
"13","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-13",12.3,535,0.26,55,18,190,200,23,32
"14","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-14",10.51,1043,0,27,14,10,10,21,23.9
"15","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-15",12.75,605,0,24,13,10,10,21,25.1
"16","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-16",3.13,2353,0,38,18,100,110,13,18.1
"17","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-17",6.71,1947,0.12,38,22,340,350,15,19.9
"18","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-18",8.28,736,0,34,17,340,310,15,21
"19","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-19",4.47,634,0,35,22,250,240,8.9,13
"20","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-20",5.59,1003,0,50,23,230,220,16.1,29.1
"21","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-21",1.12,1433,0,47,24,220,210,10.1,15
"22","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-22",4.7,1748,0,47,37,70,70,12.1,16.1
"23","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-23",7.61,919,0.62,52,38,180,190,21.9,30
"24","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-24",8.72,2122,0,42,25,330,330,16.1,25.9
"25","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-25",11.18,1233,0,33,22,340,330,21.9,36
"26","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-26",6.49,19,0,35,19,320,330,14.1,19
"27","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-27",4.7,2348,0,47,21,200,230,13,19.9
"28","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-28",2.01,10,0.16,48,37,230,240,10.1,17
"29","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-29",10.74,2310,0,45,32,30,30,21,27.1
"30","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-30",11.63,2105,0.03,38,23,340,320,21.9,30
"31","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-01-31",9.4,2235,0,34,20,230,230,19.9,28
"32","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-02-01",4.25,204,0.08,41,32,220,220,12.1,19
"33","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-02-02",11.41,1637,0.21,37,15,350,290,23.9,33.1
"34","USW00014758","NEW HAVEN TWEED AIRPORT, CT US",41.26389,-72.88722,0.9,"2018-02-03",10.07,2153,0,31,14,220,220,16.1,25.9
