crowdedness,dhall,datetime
0,BK,2019-05-05 00:16:53.548009
0,BR,2019-05-05 00:16:53.549010
0,GH,2019-05-05 00:16:53.550011
0,DC,2019-05-05 00:16:53.551012
0,MC,2019-05-05 00:16:53.552013
0,JE,2019-05-05 00:16:53.553014
0,PC,2019-05-05 00:16:53.554015
0,SM,2019-05-05 00:16:53.555016
0,TD,2019-05-05 00:16:53.556017
0,SY,2019-05-05 00:16:53.556018
0,ES,2019-05-05 00:16:53.557019
0,TC,2019-05-05 00:16:53.557020
0,BF,2019-05-05 00:16:53.558021
0,MY,2019-05-05 00:16:53.559022
4,GH,2019-05-05 09:51:06.466005
2,MC,2019-05-05 09:51:06.466007
2,ES,2019-05-05 09:51:06.467013
3,BK,2019-05-05 10:48:34.784008
1,BR,2019-05-05 10:48:34.784009
1,GH,2019-05-05 10:48:34.785010
1,DC,2019-05-05 10:48:34.786011
3,MC,2019-05-05 10:48:34.786012
1,JE,2019-05-05 10:48:34.787013
1,PC,2019-05-05 10:48:34.787014
1,SM,2019-05-05 10:48:34.787015
2,TD,2019-05-05 10:48:34.788016
2,SY,2019-05-05 10:48:34.788017
1,TC,2019-05-05 10:48:34.789019
2,BF,2019-05-05 10:48:34.789020
2,MY,2019-05-05 10:48:34.790021
0,BK,2019-05-05 11:37:29.452002
0,BR,2019-05-05 11:37:29.453003
0,GH,2019-05-05 11:37:29.453004
0,DC,2019-05-05 11:37:29.454005
0,MC,2019-05-05 11:37:29.455006
0,JE,2019-05-05 11:37:29.456007
0,PC,2019-05-05 11:37:29.456008
0,SM,2019-05-05 11:37:29.457009
0,TD,2019-05-05 11:37:29.457010
0,SY,2019-05-05 11:37:29.458011
0,ES,2019-05-05 11:37:29.458012
0,TC,2019-05-05 11:37:29.459013
0,BF,2019-05-05 11:37:29.459014
0,MY,2019-05-05 11:37:29.460015
3,BK,2019-05-05 13:51:30.169003
1,BR,2019-05-05 13:51:30.169004
1,GH,2019-05-05 13:51:30.169005
1,DC,2019-05-05 13:51:30.169006
2,MC,2019-05-05 13:51:30.169007
1,JE,2019-05-05 13:51:30.170008
1,PC,2019-05-05 13:51:30.170009
1,SM,2019-05-05 13:51:30.170010
1,TD,2019-05-05 13:51:30.170011
2,SY,2019-05-05 13:51:30.170012
2,ES,2019-05-05 13:51:30.170013
1,TC,2019-05-05 13:51:30.170014
1,BF,2019-05-05 13:51:30.170015
1,MY,2019-05-05 13:51:30.171016
0,BK,2019-05-05 14:47:55.152003
0,BR,2019-05-05 14:47:55.152004
0,GH,2019-05-05 14:47:55.153005
0,DC,2019-05-05 14:47:55.153006
0,MC,2019-05-05 14:47:55.153007
0,JE,2019-05-05 14:47:55.153008
0,PC,2019-05-05 14:47:55.153009
0,SM,2019-05-05 14:47:55.153010
0,TD,2019-05-05 14:47:55.153011
0,SY,2019-05-05 14:47:55.153012
0,ES,2019-05-05 14:47:55.154013
0,TC,2019-05-05 14:47:55.154014
0,BF,2019-05-05 14:47:55.154015
0,MY,2019-05-05 14:47:55.154016
5,BK,2019-05-05 15:51:25.363003
3,BR,2019-05-05 15:51:25.364004
3,GH,2019-05-05 15:51:25.365005
3,DC,2019-05-05 15:51:25.365006
7,MC,2019-05-05 15:51:25.365007
4,JE,2019-05-05 15:51:25.366008
4,PC,2019-05-05 15:51:25.366009
3,SM,2019-05-05 15:51:25.367010
4,TD,2019-05-05 15:51:25.367011
2,SY,2019-05-05 15:51:25.367012
2,ES,2019-05-05 15:51:25.368013
5,TC,2019-05-05 15:51:25.368014
2,BF,2019-05-05 15:51:25.368015
3,MY,2019-05-05 15:51:25.369016
0,BK,2019-05-05 16:00:00.450002
0,BR,2019-05-05 16:00:00.451003
0,GH,2019-05-05 16:00:00.451004
0,DC,2019-05-05 16:00:00.452005
0,MC,2019-05-05 16:00:00.452006
0,JE,2019-05-05 16:00:00.452007
0,PC,2019-05-05 16:00:00.453008
0,SM,2019-05-05 16:00:00.453009
0,TD,2019-05-05 16:00:00.453010
0,SY,2019-05-05 16:00:00.454011
0,ES,2019-05-05 16:00:00.454012
0,TC,2019-05-05 16:00:00.454013
0,BF,2019-05-05 16:00:00.455014
0,MY,2019-05-05 16:00:00.455015
2,BK,2019-05-05 17:08:21.589001
1,BR,2019-05-05 17:08:21.590002
1,GH,2019-05-05 17:08:21.591003
2,DC,2019-05-05 17:08:21.591004
1,MC,2019-05-05 17:08:21.592005
2,JE,2019-05-05 17:08:21.593006
1,PC,2019-05-05 17:08:21.593007
1,SM,2019-05-05 17:08:21.594008
2,TD,2019-05-05 17:08:21.594009
1,SY,2019-05-05 17:08:21.595010
1,ES,2019-05-05 17:08:21.595011
2,TC,2019-05-05 17:08:21.596012
1,BF,2019-05-05 17:08:21.596013
1,MY,2019-05-05 17:08:21.597014
7,BK,2019-05-05 17:33:49.351002
3,BR,2019-05-05 17:33:49.352003
5,GH,2019-05-05 17:33:49.352004
4,DC,2019-05-05 17:33:49.352005
6,MC,2019-05-05 17:33:49.352006
6,JE,2019-05-05 17:33:49.352007
4,PC,2019-05-05 17:33:49.353008
3,SM,2019-05-05 17:33:49.353009
7,TD,2019-05-05 17:33:49.353010
3,SY,2019-05-05 17:33:49.353011
5,ES,2019-05-05 17:33:49.353012
5,TC,2019-05-05 17:33:49.353013
4,BF,2019-05-05 17:33:49.354014
4,MY,2019-05-05 17:33:49.354015
8,BK,2019-05-05 17:39:19.632002
4,BR,2019-05-05 17:39:19.632003
7,MC,2019-05-05 17:39:19.634006
5,PC,2019-05-05 17:39:19.634008
4,SM,2019-05-05 17:39:19.635009
8,TD,2019-05-05 17:39:19.635010
4,SY,2019-05-05 17:39:19.635011
6,ES,2019-05-05 17:39:19.636012
6,TC,2019-05-05 17:39:19.636013
0,BK,2019-05-05 17:59:55.014001
0,BR,2019-05-05 17:59:55.014002
0,GH,2019-05-05 17:59:55.014003
0,DC,2019-05-05 17:59:55.015004
0,MC,2019-05-05 17:59:55.015005
0,JE,2019-05-05 17:59:55.015006
0,PC,2019-05-05 17:59:55.015007
0,SM,2019-05-05 17:59:55.016008
0,TD,2019-05-05 17:59:55.016009
0,SY,2019-05-05 17:59:55.016010
0,ES,2019-05-05 17:59:55.016011
0,TC,2019-05-05 17:59:55.017012
0,BF,2019-05-05 17:59:55.017013
0,MY,2019-05-05 17:59:55.017014
7,BK,2019-05-05 18:09:47.538002
4,BR,2019-05-05 18:09:47.538003
5,GH,2019-05-05 18:09:47.538004
6,DC,2019-05-05 18:09:47.538005
5,MC,2019-05-05 18:09:47.539006
5,JE,2019-05-05 18:09:47.539007
5,PC,2019-05-05 18:09:47.539008
4,SM,2019-05-05 18:09:47.539009
4,TD,2019-05-05 18:09:47.539010
3,SY,2019-05-05 18:09:47.539011
4,ES,2019-05-05 18:09:47.539012
5,TC,2019-05-05 18:09:47.540013
4,BF,2019-05-05 18:09:47.540014
4,MY,2019-05-05 18:09:47.540015
6,BK,2019-05-05 18:18:42.073002
4,JE,2019-05-05 18:18:42.075007
6,PC,2019-05-05 18:18:42.076008
3,TD,2019-05-05 18:18:42.076010
6,TC,2019-05-05 18:18:42.077013
5,DC,2019-05-05 18:20:14.058077
