crowdedness,dhall,datetime
0,BK,2019-05-05 00:16:53.548009
0,BR,2019-05-05 00:16:53.549010
0,GH,2019-05-05 00:16:53.550011
0,DC,2019-05-05 00:16:53.551012
0,MC,2019-05-05 00:16:53.552013
0,JE,2019-05-05 00:16:53.553014
0,PC,2019-05-05 00:16:53.554015
0,SM,2019-05-05 00:16:53.555016
0,TD,2019-05-05 00:16:53.556017
0,SY,2019-05-05 00:16:53.556018
0,ES,2019-05-05 00:16:53.557019
0,TC,2019-05-05 00:16:53.557020
0,BF,2019-05-05 00:16:53.558021
0,PM,2019-05-05 00:16:53.559022
0,BK,2019-05-05 00:17:59.595210
0,BR,2019-05-05 00:17:59.596211
0,GH,2019-05-05 00:17:59.597212
0,DC,2019-05-05 00:17:59.598213
0,MC,2019-05-05 00:17:59.599214
0,JE,2019-05-05 00:17:59.600215
0,PC,2019-05-05 00:17:59.601216
0,SM,2019-05-05 00:17:59.602217
0,TD,2019-05-05 00:17:59.603218
0,SY,2019-05-05 00:17:59.604219
0,ES,2019-05-05 00:17:59.604220
0,TC,2019-05-05 00:17:59.605221
0,BF,2019-05-05 00:17:59.606222
0,PM,2019-05-05 00:17:59.606223
0,BK,2019-05-05 00:58:51.636001
0,BR,2019-05-05 00:58:51.636002
0,GH,2019-05-05 00:58:51.637003
0,DC,2019-05-05 00:58:51.637004
0,MC,2019-05-05 00:58:51.637005
0,JE,2019-05-05 00:58:51.638006
0,PC,2019-05-05 00:58:51.638007
0,SM,2019-05-05 00:58:51.639008
0,TD,2019-05-05 00:58:51.639009
0,SY,2019-05-05 00:58:51.639010
0,ES,2019-05-05 00:58:51.640011
0,TC,2019-05-05 00:58:51.640012
0,BF,2019-05-05 00:58:51.640013
0,PM,2019-05-05 00:58:51.641014
0,BK,2019-05-05 01:03:42.371001
0,BR,2019-05-05 01:03:42.371002
0,GH,2019-05-05 01:03:42.371003
0,DC,2019-05-05 01:03:42.372004
0,MC,2019-05-05 01:03:42.372005
0,JE,2019-05-05 01:03:42.372006
0,PC,2019-05-05 01:03:42.373007
0,SM,2019-05-05 01:03:42.373008
0,TD,2019-05-05 01:03:42.373009
0,SY,2019-05-05 01:03:42.374010
0,ES,2019-05-05 01:03:42.374011
0,TC,2019-05-05 01:03:42.374012
0,BF,2019-05-05 01:03:42.374013
0,PM,2019-05-05 01:03:42.375014
0,BK,2019-05-05 01:08:45.841001
0,BR,2019-05-05 01:08:45.842002
0,GH,2019-05-05 01:08:45.842003
0,DC,2019-05-05 01:08:45.842004
0,MC,2019-05-05 01:08:45.843005
0,JE,2019-05-05 01:08:45.843006
0,PC,2019-05-05 01:08:45.843007
0,SM,2019-05-05 01:08:45.843008
0,TD,2019-05-05 01:08:45.843009
0,SY,2019-05-05 01:08:45.844010
0,ES,2019-05-05 01:08:45.844011
0,TC,2019-05-05 01:08:45.844012
0,BF,2019-05-05 01:08:45.844013
0,PM,2019-05-05 01:08:45.845014
0,BK,2019-05-05 01:13:52.113001
0,BR,2019-05-05 01:13:52.113002
0,GH,2019-05-05 01:13:52.113003
0,DC,2019-05-05 01:13:52.114004
0,MC,2019-05-05 01:13:52.114005
0,JE,2019-05-05 01:13:52.114006
0,PC,2019-05-05 01:13:52.114007
0,SM,2019-05-05 01:13:52.115008
0,TD,2019-05-05 01:13:52.115009
0,SY,2019-05-05 01:13:52.115010
0,ES,2019-05-05 01:13:52.116011
0,TC,2019-05-05 01:13:52.116012
0,BF,2019-05-05 01:13:52.116013
0,PM,2019-05-05 01:13:52.117014
0,BK,2019-05-05 01:14:44.849001
0,BR,2019-05-05 01:14:44.850002
0,GH,2019-05-05 01:14:44.851003
0,DC,2019-05-05 01:14:44.851004
0,MC,2019-05-05 01:14:44.851005
0,JE,2019-05-05 01:14:44.852006
0,PC,2019-05-05 01:14:44.852007
0,SM,2019-05-05 01:14:44.852008
0,TD,2019-05-05 01:14:44.853009
0,SY,2019-05-05 01:14:44.853010
0,ES,2019-05-05 01:14:44.853011
0,TC,2019-05-05 01:14:44.853012
0,BF,2019-05-05 01:14:44.854013
0,PM,2019-05-05 01:14:44.854014
0,BK,2019-05-05 01:15:24.181001
0,BR,2019-05-05 01:15:24.181002
0,GH,2019-05-05 01:15:24.182003
0,DC,2019-05-05 01:15:24.182004
0,MC,2019-05-05 01:15:24.182005
0,JE,2019-05-05 01:15:24.182006
0,PC,2019-05-05 01:15:24.182007
0,SM,2019-05-05 01:15:24.183008
0,TD,2019-05-05 01:15:24.183009
0,SY,2019-05-05 01:15:24.183010
0,ES,2019-05-05 01:15:24.183011
0,TC,2019-05-05 01:15:24.183012
0,BF,2019-05-05 01:15:24.184013
0,PM,2019-05-05 01:15:24.184014
0,BK,2019-05-05 01:18:04.837001
0,BR,2019-05-05 01:18:04.837002
0,GH,2019-05-05 01:18:04.838003
0,DC,2019-05-05 01:18:04.838004
0,MC,2019-05-05 01:18:04.838005
0,JE,2019-05-05 01:18:04.838006
0,PC,2019-05-05 01:18:04.838007
0,SM,2019-05-05 01:18:04.839008
0,TD,2019-05-05 01:18:04.839009
0,SY,2019-05-05 01:18:04.839010
0,ES,2019-05-05 01:18:04.839011
0,TC,2019-05-05 01:18:04.839012
0,BF,2019-05-05 01:18:04.840013
0,PM,2019-05-05 01:18:04.840014
0,BK,2019-05-05 01:19:26.705001
0,BR,2019-05-05 01:19:26.706002
0,GH,2019-05-05 01:19:26.706003
0,DC,2019-05-05 01:19:26.707004
0,MC,2019-05-05 01:19:26.707005
0,JE,2019-05-05 01:19:26.707006
0,PC,2019-05-05 01:19:26.708007
0,SM,2019-05-05 01:19:26.708008
0,TD,2019-05-05 01:19:26.708009
0,SY,2019-05-05 01:19:26.709010
0,ES,2019-05-05 01:19:26.709011
0,TC,2019-05-05 01:19:26.709012
0,BF,2019-05-05 01:19:26.710013
0,PM,2019-05-05 01:19:26.710014
0,BK,2019-05-05 01:19:48.552001
0,BR,2019-05-05 01:19:48.552002
0,GH,2019-05-05 01:19:48.553003
0,DC,2019-05-05 01:19:48.553004
0,MC,2019-05-05 01:19:48.553005
0,JE,2019-05-05 01:19:48.553006
0,PC,2019-05-05 01:19:48.554007
0,SM,2019-05-05 01:19:48.554008
0,TD,2019-05-05 01:19:48.554009
0,SY,2019-05-05 01:19:48.554010
0,ES,2019-05-05 01:19:48.555011
0,TC,2019-05-05 01:19:48.555012
0,BF,2019-05-05 01:19:48.555013
0,PM,2019-05-05 01:19:48.555014
0,BK,2019-05-05 01:20:18.820001
0,BR,2019-05-05 01:20:18.820002
0,GH,2019-05-05 01:20:18.820003
0,DC,2019-05-05 01:20:18.821004
0,MC,2019-05-05 01:20:18.821005
0,JE,2019-05-05 01:20:18.821006
0,PC,2019-05-05 01:20:18.822007
0,SM,2019-05-05 01:20:18.822008
0,TD,2019-05-05 01:20:18.822009
0,SY,2019-05-05 01:20:18.822010
0,ES,2019-05-05 01:20:18.823011
0,TC,2019-05-05 01:20:18.823012
0,BF,2019-05-05 01:20:18.823013
0,PM,2019-05-05 01:20:18.823014
0,BK,2019-05-05 01:21:32.836001
0,BR,2019-05-05 01:21:32.836002
0,GH,2019-05-05 01:21:32.836003
